date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2024-08-13,15:17:59.321,0,0,0,0,0,0,26.79,81.57,0,2.86,233.29,0,42,95,4690,5664191,18,17,0,0,1,0
2024-08-13,15:17:59.688,0,0,0,0,0,0,26.93,81.67,0,2.46,200.91,0,41,95,4693,5664194,18,17,0,0,1,0
2024-08-13,15:18:00.099,0,0,0,0,0,0,27.54,81.9,0,1.8,147.42,0,43,97,4696,5664197,18,17,0,0,1,0
2024-08-13,15:18:00.515,0,0,0,0,0,0,27.02,81.98,0,1.47,120.51,0,41,97,4699,5664200,18,17,0,0,1,0
2024-08-13,15:18:00.888,0,0,0,0,0,0,27.31,81.68,0,2.54,207.47,0,42,95,4702,5664203,18,17,0,0,1,0
2024-08-13,15:18:01.296,0,0,0,0,0,0,27.76,82.06,0,1.16,95.19,0,42,97,4705,5664206,18,17,0,0,1,0
2024-08-13,15:18:01.720,0,0,0,0,0,0,27.3,82.68,0,-0.05,-4.13,0,38,100,4707,5664208,18,17,0,0,1,0
2024-08-13,15:18:02.087,0,0,0,0,0,0,26.48,82.25,0,0.93,76.49,0,38,98,4710,5664211,18,17,0,0,1,0
2024-08-13,15:18:02.512,0,0,0,0,0,0,26.27,82.21,0,0.84,69.06,0,38,98,4713,5664214,18,17,0,0,1,0
2024-08-13,15:18:02.882,0,0,0,0,0,0,26.58,81.76,0,2.4,196.22,0,41,96,4716,5664217,18,17,0,0,1,0
2024-08-13,15:18:03.322,0,0,0,0,0,0,26.74,81.98,0,1.54,126.25,0,41,97,4719,5664220,18,17,0,0,1,0
2024-08-13,15:18:03.692,0,0,0,0,0,0,26.64,82.19,0,0.8,65.75,0,40,98,4722,5664223,18,17,0,0,1,0
2024-08-13,15:18:04.087,0,0,0,0,0,0,26.46,82.25,0,0.64,52.64,0,38,98,4725,5664226,18,17,0,0,1,0
2024-08-13,15:18:04.486,0,0,0,0,0,0,26.4,82.39,0,0.16,13.18,0,39,99,4728,5664229,18,17,0,0,1,0
2024-08-13,15:18:04.909,0,0,0,0,0,0,26.21,83.55,0,-1.97,-164.59,0,35,100,4730,5664231,18,17,0,0,1,0
2024-08-13,15:18:05.282,0,0,0,0,0,0,23.7,84.16,0,-3.28,-276.04,0,30,100,4733,5664234,18,17,0,0,1,0
2024-08-13,15:18:05.733,0,0,0,0,0,0,20.8,83.63,0,-1.61,-134.64,0,26,100,4735,5664236,18,17,0,0,1,0
2024-08-13,15:18:06.154,0,0,0,0,0,0,19.39,82.85,0,-0.35,-29,0,27,100,4737,5664238,18,17,0,0,1,0
2024-08-13,15:18:06.485,0,0,0,0,0,0,19,82.37,0,0.54,44.48,0,27,99,4739,5664240,18,17,0,0,1,0
2024-08-13,15:18:06.887,0,0,0,0,0,0,19.18,81.26,0,4.38,355.92,0,31,93,4741,5664242,18,17,0,0,1,0
2024-08-13,15:18:07.302,0,0,0,0,0,0,21.13,80.06,0,8.54,683.71,0,37,87,4744,5664245,18,17,0,0,1,0
2024-08-13,15:18:07.682,0,0,0,0,0,0,23.16,80.33,0,7.4,594.44,0,40,89,4746,5664247,18,17,0,0,1,0
2024-08-13,15:18:08.110,0,0,0,0,0,0,24.86,80.08,0,8.18,655.05,0,42,87,4749,5664250,18,17,0,0,1,0
2024-08-13,15:18:08.492,0,0,0,0,0,0,26.49,80.6,0,6.25,503.75,0,43,90,4752,5664253,18,17,0,0,1,0
2024-08-13,15:18:08.884,0,0,0,0,0,0,27.1,80.93,0,4.94,399.79,0,43,92,4755,5664256,18,17,0,0,1,0
2024-08-13,15:18:09.287,0,0,0,0,0,0,27.81,81.33,0,3.39,275.71,0,44,94,4758,5664259,18,17,0,0,1,0
2024-08-13,15:18:09.737,0,0,0,0,0,0,28.23,80,0,8.42,673.6,0,46,87,4761,5664262,18,17,0,0,1,0
2024-08-13,15:18:10.097,0,0,0,0,0,0,29.99,80.13,0,7.75,621.01,0,49,88,4764,5664265,18,17,0,0,1,0
2024-08-13,15:18:10.491,0,0,0,0,0,0,30.93,80.38,0,6.76,543.37,0,50,89,4767,5664268,18,17,0,0,1,0
2024-08-13,15:18:10.893,0,0,0,0,0,0,32.05,80.15,0,7.58,607.54,0,52,88,4771,5664272,18,17,0,0,1,0
2024-08-13,15:18:11.282,0,0,0,0,0,0,33.08,80.67,0,5.67,457.4,0,53,90,4774,5664275,18,17,0,0,1,0
2024-08-13,15:18:11.702,0,0,0,0,0,0,33.44,81.25,0,3.58,290.88,0,52,93,4778,5664279,18,17,0,0,1,0
2024-08-13,15:18:12.108,0,0,0,0,0,0,33.31,81.51,0,2.74,223.34,0,51,95,4782,5664283,18,17,0,0,1,0
2024-08-13,15:18:12.530,0,0,0,0,0,0,33.22,81.53,0,2.59,211.16,0,51,95,4785,5664286,18,17,0,0,1,0
2024-08-13,15:18:12.904,0,0,0,0,0,0,33.27,81.79,0,1.87,152.95,0,49,96,4789,5664290,18,17,0,0,1,0
2024-08-13,15:18:13.294,0,0,0,0,0,0,33.03,80.73,0,5.66,456.93,0,51,91,4792,5664293,18,17,0,0,1,0
2024-08-13,15:18:13.685,0,0,0,0,0,0,33.66,81.22,0,3.78,307.01,0,53,93,4796,5664297,18,17,0,0,1,0
2024-08-13,15:18:14.088,0,0,0,0,0,0,33.75,81.05,0,4.3,348.52,0,53,92,4800,5664301,18,17,0,0,1,0
2024-08-13,15:18:14.529,0,0,0,0,0,0,33.94,81.3,0,3.36,273.17,0,52,94,4803,5664304,18,17,0,0,1,0
2024-08-13,15:18:14.881,0,0,0,0,0,0,34.23,81.44,0,2.98,242.69,0,54,94,4807,5664308,18,17,0,0,1,0
