date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2024-08-26,19:16:05.103,0,0,0,0,0,0,38.91,80.24,0,3.34,268,0,59,88,6749,6262783,35,37,0,0,2,0
2024-08-26,19:16:05.431,0,0,0,0,0,0,38.72,80.07,0,4.17,333.89,0,60,87,6753,6262787,35,37,0,0,2,0
2024-08-26,19:16:05.820,0,0,0,0,0,0,38.94,79.81,0,5.28,421.4,0,61,86,6758,6262792,35,37,0,0,2,0
2024-08-26,19:16:06.223,0,0,0,0,0,0,38.98,79.56,0,6.31,502.02,0,61,85,6762,6262796,35,37,0,0,2,0
2024-08-26,19:16:06.633,0,0,0,0,0,0,39.37,79.37,0,7.17,569.08,0,62,84,6766,6262800,35,37,0,0,2,0
2024-08-26,19:16:07.042,0,0,0,0,0,0,39.86,79.53,0,6.37,506.61,0,62,85,6770,6262804,35,37,0,0,2,0
2024-08-26,19:16:07.425,0,0,0,0,0,0,40.08,80.98,0,1.11,89.89,0,59,92,6775,6262809,35,37,0,0,2,0
2024-08-26,19:16:07.833,0,0,0,0,0,0,39.1,81.45,0,-0.32,-26.06,0,54,94,6779,6262813,35,37,0,0,2,0
2024-08-26,19:16:08.220,0,0,0,0,0,0,38.04,80.11,0,4.55,364.5,0,60,88,6783,6262817,35,37,0,0,2,0
2024-08-26,19:16:08.624,0,0,0,0,0,0,38.26,80.65,0,2.55,205.66,0,66,90,6787,6262821,35,37,0,0,2,0
2024-08-26,19:16:09.028,0,0,0,0,0,0,37.24,80.59,0,2.25,181.33,0,54,90,6791,6262825,35,37,0,0,2,0
2024-08-26,19:16:09.419,0,0,0,0,0,0,37.31,80.16,0,4.05,324.65,0,61,88,6795,6262829,35,37,0,0,2,0
2024-08-26,19:16:09.855,0,0,0,0,0,0,37.14,80.9,0,0.96,77.66,0,55,92,6799,6262833,35,37,0,0,2,0
2024-08-26,19:16:10.227,0,0,0,0,0,0,36.44,81.36,0,0.08,6.51,0,53,94,6803,6262837,35,37,0,0,2,0
2024-08-26,19:16:10.650,0,0,0,0,0,0,35.21,81.63,0,-0.25,-20.41,0,50,95,6807,6262841,35,37,0,0,2,0
2024-08-26,19:16:11.024,0,0,0,0,0,0,34.2,81.65,0,-0.22,-17.96,0,48,95,6811,6262845,35,37,0,0,2,0
2024-08-26,19:16:11.443,0,0,0,0,0,0,33.16,81.59,0,-0.25,-20.4,0,47,95,6814,6262848,35,37,0,0,2,0
2024-08-26,19:16:11.820,0,0,0,0,0,0,32.28,81.67,0,-0.25,-20.42,0,45,95,6818,6262852,35,37,0,0,2,0
2024-08-26,19:16:12.228,0,0,0,0,0,0,31.16,82.04,0,-0.88,-72.2,0,43,97,6821,6262855,35,37,0,0,2,0
2024-08-26,19:16:12.644,0,0,0,0,0,0,29.75,82.46,0,-2.39,-197.08,0,41,99,6824,6262858,35,37,0,0,2,0
2024-08-26,19:16:13.019,0,0,0,0,0,0,27.51,82.89,0,-4.29,-355.6,0,35,100,6827,6262861,35,37,0,0,2,0
2024-08-26,19:16:13.424,0,0,0,0,0,0,24.89,82.86,0,-3.81,-315.7,0,31,100,6830,6262864,35,37,0,0,2,0
2024-08-26,19:16:13.844,0,0,0,0,0,0,22.44,82.64,0,-2.78,-229.74,0,28,100,6832,6262866,35,37,0,0,2,0
2024-08-26,19:16:14.222,0,0,0,0,0,0,20.15,82.51,0,-2.04,-168.32,0,25,100,6834,6262868,35,37,0,0,2,0
2024-08-26,19:16:14.642,0,0,0,0,0,0,17.89,82.37,0,-1.49,-122.73,0,22,99,6836,6262870,35,37,0,0,2,0
2024-08-26,19:16:15.046,0,0,0,0,0,0,15.68,82.15,0,-0.54,-44.36,0,19,98,6838,6262872,35,37,0,0,2,0
