date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2024-09-18,09:47:15.911,0,0,0,0,0,0,30.33,80.05,0,5.74,459.49,0,52,87,33,6758967,25,23,0,0,2,0
2024-09-18,09:47:16.313,0,0,0,0,0,0,30.15,80.44,0,4.11,330.61,0,49,89,36,6758970,25,23,0,0,2,0
2024-09-18,09:47:16.722,0,0,0,0,0,0,29.68,80.44,0,4.21,338.65,0,47,89,40,6758974,25,23,0,0,2,0
2024-09-18,09:47:17.171,0,0,0,0,0,0,29.34,80,0,6.02,481.6,0,45,87,43,6758977,25,23,0,0,2,0
2024-09-18,09:47:17.493,0,0,0,0,0,0,29.74,79.89,0,6.52,520.88,0,48,86,46,6758980,25,23,0,0,2,0
2024-09-18,09:47:17.889,0,0,0,0,0,0,29.76,80.09,0,5.53,442.9,0,48,87,49,6758983,25,23,0,0,2,0
2024-09-18,09:47:18.352,0,0,0,0,0,0,29.93,79.37,0,8.39,665.91,0,47,84,52,6758986,25,23,0,0,2,0
2024-09-18,09:47:18.684,0,0,0,0,0,0,30.35,79.26,0,8.82,699.07,0,54,83,56,6758990,25,23,0,0,2,0
2024-09-18,09:47:19.088,0,0,0,0,0,0,30.93,79.42,0,8.01,636.15,0,49,84,59,6758993,25,23,0,0,2,0
2024-09-18,09:47:19.524,0,0,0,0,0,0,31.3,79.79,0,6.79,541.77,0,48,86,62,6758996,25,23,0,0,2,0
2024-09-18,09:47:19.901,0,0,0,0,0,0,31.35,79.59,0,7.48,595.33,0,50,85,66,6759000,25,23,0,0,2,0
2024-09-18,09:47:20.291,0,0,0,0,0,0,31.54,79.85,0,6.47,516.63,0,48,86,69,6759003,25,23,0,0,2,0
2024-09-18,09:47:20.696,0,0,0,0,0,0,31.46,80.02,0,5.8,464.12,0,49,87,73,6759007,25,24,0,0,2,0
2024-09-18,09:47:21.083,0,0,0,0,0,0,31.54,80.03,0,5.68,454.57,0,49,87,76,6759010,25,24,0,0,2,0
2024-09-18,09:47:21.492,0,0,0,0,0,0,31.54,80.35,0,4.42,355.15,0,49,89,79,6759013,25,24,0,0,2,0
2024-09-18,09:47:21.925,0,0,0,0,0,0,31.54,79.82,0,6.34,506.06,0,48,86,83,6759017,25,24,0,0,2,0
2024-09-18,09:47:22.286,0,0,0,0,0,0,31.46,80.65,0,3.27,263.73,0,48,90,86,6759020,25,24,0,0,2,0
2024-09-18,09:47:22.689,0,0,0,0,0,0,31.1,79.9,0,6.33,505.77,0,49,87,90,6759024,25,24,0,0,2,0
2024-09-18,09:47:23.113,0,0,0,0,0,0,31.39,80.01,0,5.64,451.26,0,50,87,93,6759027,25,24,0,0,2,0
2024-09-18,09:47:23.487,0,0,0,0,0,0,31.6,79.89,0,6.3,503.31,0,50,86,96,6759030,25,24,0,0,2,0
2024-09-18,09:47:23.889,0,0,0,0,0,0,31.69,79.67,0,7.28,580,0,52,85,100,6759034,25,24,0,0,2,0
2024-09-18,09:47:24.292,0,0,0,0,0,0,31.81,80.08,0,5.33,426.83,0,50,87,103,6759037,25,24,0,0,2,0
2024-09-18,09:47:24.683,0,0,0,0,0,0,32.01,80.08,0,5.38,430.83,0,50,87,107,6759041,25,24,0,0,2,0
2024-09-18,09:47:25.088,0,0,0,0,0,0,32.16,79.35,0,8.21,651.46,0,52,84,110,6759044,25,24,0,0,2,0
2024-09-18,09:47:25.509,0,0,0,0,0,0,32.8,79.59,0,7.36,585.78,0,53,85,114,6759048,25,24,0,0,2,0
2024-09-18,09:47:25.884,0,0,0,0,0,0,33.06,80,0,5.6,448,0,56,87,117,6759051,25,24,0,0,2,0
2024-09-18,09:47:26.289,0,0,0,0,0,0,33.31,79.55,0,7.47,594.24,0,53,85,121,6759055,25,24,0,0,2,0
2024-09-18,09:47:26.698,0,0,0,0,0,0,33.79,79.39,0,8.13,645.44,0,53,84,125,6759059,25,24,0,0,2,0
2024-09-18,09:47:27.083,0,0,0,0,0,0,33.99,79.34,0,8.16,647.41,0,53,84,128,6759062,25,24,0,0,2,0
2024-09-18,09:47:27.489,0,0,0,0,0,0,34.46,79.96,0,5.79,462.97,0,55,87,132,6759066,25,24,0,0,2,0
2024-09-18,09:47:27.895,0,0,0,0,0,0,34.38,80.59,0,3.37,271.59,0,54,90,136,6759070,25,24,0,0,2,0
2024-09-18,09:47:28.284,0,0,0,0,0,0,33.65,81.03,0,1.74,140.99,0,53,92,139,6759073,25,24,0,0,2,0
2024-09-18,09:47:28.689,0,0,0,0,0,0,32.96,80.61,0,3.45,278.1,0,50,90,143,6759077,25,24,0,0,2,0
2024-09-18,09:47:29.094,0,0,0,0,0,0,33.08,80.01,0,6.02,481.66,0,51,87,146,6759080,25,24,0,0,2,0
2024-09-18,09:47:29.484,0,0,0,0,0,0,33.24,80.63,0,3.37,271.72,0,52,90,150,6759084,25,24,0,0,2,0
2024-09-18,09:47:29.887,0,0,0,0,0,0,33.01,80.07,0,5.73,458.8,0,52,87,154,6759088,25,24,0,0,2,0
2024-09-18,09:47:30.293,0,0,0,0,0,0,33.19,79.77,0,6.73,536.85,0,51,86,157,6759091,25,24,0,0,2,0
2024-09-18,09:47:30.683,0,0,0,0,0,0,33.9,79.9,0,6.13,489.79,0,55,87,161,6759095,25,24,0,0,2,0
2024-09-18,09:47:31.088,0,0,0,0,0,0,34.1,79.61,0,7.32,582.75,0,53,85,164,6759098,25,24,0,0,2,0
2024-09-18,09:47:31.495,0,0,0,0,0,0,34.58,80.15,0,5.15,412.77,0,57,88,168,6759102,25,24,0,0,2,0
2024-09-18,09:47:31.885,0,0,0,0,0,0,34.28,78.12,0,13.01,1016.34,0,54,78,172,6759106,25,24,0,0,2,0
2024-09-18,09:47:32.291,0,0,0,0,0,0,36.85,77.77,0,14.64,1138.55,0,64,76,176,6759110,25,24,0,0,2,0
2024-09-18,09:47:32.711,0,0,0,0,0,0,37.82,78.92,0,9.64,760.79,0,59,82,180,6759114,25,24,0,0,2,0
2024-09-18,09:47:33.086,0,0,0,0,0,0,38.51,78.92,0,9.89,780.52,0,60,82,184,6759118,25,24,0,0,2,0
2024-09-18,09:47:33.493,0,0,0,0,0,0,38.62,78.93,0,9.51,750.62,0,61,82,188,6759122,25,24,0,0,2,0
2024-09-18,09:47:33.893,0,0,0,0,0,0,39.21,79.09,0,9.01,712.6,0,68,82,193,6759127,25,24,0,0,2,0
2024-09-18,09:47:34.288,0,0,0,0,0,0,39.52,79.6,0,6.82,542.87,0,69,85,197,6759131,25,24,0,0,2,0
2024-09-18,09:47:34.720,0,0,0,0,0,0,39.61,79.8,0,6.15,490.77,0,62,86,201,6759135,25,24,0,0,2,0
2024-09-18,09:47:35.112,0,0,0,0,0,0,39.57,79.75,0,6.39,509.6,0,64,86,205,6759139,25,24,0,0,2,0
2024-09-18,09:47:35.485,0,0,0,0,0,0,39.89,80.1,0,5.23,418.92,0,63,88,210,6759144,25,24,0,0,2,0
2024-09-18,09:47:35.889,0,0,0,0,0,0,39.82,81.69,0,-0.04,-3.27,0,60,95,214,6759148,25,24,0,0,2,0
