date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2024-08-16,08:51:00.114,0,0,0,0,0,0,10,82.29,0,2.43,199.96,0,16,98,767,5791758,32,23,0,0,1,0
2024-08-16,08:51:00.513,0,0,0,0,0,0,10.47,81.96,0,3.59,294.24,0,20,97,768,5791759,32,23,0,0,1,0
2024-08-16,08:51:00.906,0,0,0,0,0,0,11.04,81.23,0,6.26,508.5,0,20,93,769,5791760,32,23,0,0,1,0
2024-08-16,08:51:01.307,0,0,0,0,0,0,14.18,79.02,0,14.61,1154.48,0,33,82,771,5791762,32,23,0,0,1,0
2024-08-16,08:51:01.722,0,0,0,0,0,0,17.7,79.85,0,10.97,875.95,0,34,86,773,5791764,32,23,0,0,1,0
2024-08-16,08:51:02.102,0,0,0,0,0,0,20.07,78.72,0,15.15,1192.61,0,40,81,775,5791766,32,23,0,0,1,0
2024-08-16,08:51:02.514,0,0,0,0,0,0,23.12,78.64,0,15.33,1205.55,0,43,80,778,5791769,32,23,0,0,1,0
2024-08-16,08:51:02.912,0,0,0,0,0,0,25.38,78.78,0,14.63,1152.55,0,49,81,781,5791772,32,23,0,0,1,0
2024-08-16,08:51:03.307,0,0,0,0,0,0,26.91,79.06,0,13.48,1065.73,0,49,82,784,5791775,32,23,0,0,1,0
2024-08-16,08:51:03.708,0,0,0,0,0,0,28.14,79.86,0,10.21,815.37,0,46,86,787,5791778,32,23,0,0,1,0
2024-08-16,08:51:04.114,0,0,0,0,0,0,28.88,80.86,0,6.58,532.06,0,45,91,790,5791781,32,23,0,0,1,0
2024-08-16,08:51:04.503,0,0,0,0,0,0,28.72,81.09,0,5.69,461.4,0,45,92,793,5791784,32,23,0,0,1,0
2024-08-16,08:51:04.909,0,0,0,0,0,0,28.49,81.2,0,5.44,441.73,0,43,93,796,5791787,32,23,0,0,1,0
2024-08-16,08:51:05.344,0,0,0,0,0,0,28.19,81.82,0,3.21,262.64,0,44,96,799,5791790,32,23,0,0,1,0
2024-08-16,08:51:05.702,0,0,0,0,0,0,27.33,81.87,0,3,245.61,0,43,96,802,5791793,32,23,0,0,1,0
2024-08-16,08:51:06.106,0,0,0,0,0,0,26.67,81.44,0,4.67,380.32,0,41,94,805,5791796,32,23,0,0,1,0
2024-08-16,08:51:06.513,0,0,0,0,0,0,26.15,81.64,0,3.98,324.93,0,43,95,808,5791799,32,23,0,0,1,0
2024-08-16,08:51:06.904,0,0,0,0,0,0,25.88,81.3,0,5.62,456.91,0,45,94,810,5791801,32,23,0,0,1,0
2024-08-16,08:51:07.310,0,0,0,0,0,0,25.04,81.67,0,3.83,312.8,0,41,95,813,5791804,32,23,0,0,1,0
2024-08-16,08:51:07.712,0,0,0,0,0,0,24.79,80.92,0,6.61,534.88,0,43,92,816,5791807,32,23,0,0,1,0
2024-08-16,08:51:08.103,0,0,0,0,0,0,25.25,80.41,0,8.48,681.88,0,41,89,818,5791809,32,23,0,0,1,0
2024-08-16,08:51:08.522,0,0,0,0,0,0,26.12,80.47,0,7.96,640.54,0,45,89,821,5791812,32,23,0,0,1,0
2024-08-16,08:51:08.912,0,0,0,0,0,0,26.08,79.72,0,10.99,876.12,0,43,86,824,5791815,32,23,0,0,1,0
2024-08-16,08:51:09.308,0,0,0,0,0,0,27.84,79.1,0,13.12,1037.79,0,54,83,827,5791818,32,23,0,0,1,0
2024-08-16,08:51:09.709,0,0,0,0,0,0,28.61,79.54,0,11.45,910.73,0,47,85,830,5791821,32,23,0,0,1,0
2024-08-16,08:51:10.115,0,0,0,0,0,0,30.24,77.56,0,18.7,1450.37,0,60,75,834,5791825,32,23,0,0,1,0
2024-08-16,08:51:10.507,0,0,0,0,0,0,32.16,78.59,0,14.61,1148.2,0,55,80,837,5791828,32,23,0,0,1,0
2024-08-16,08:51:10.907,0,0,0,0,0,0,32.76,80.9,0,5.6,453.04,0,51,92,841,5791832,32,23,0,0,1,0
2024-08-16,08:51:11.313,0,0,0,0,0,0,31.67,80.88,0,5.93,479.62,0,48,91,844,5791835,32,23,0,0,1,0
2024-08-16,08:51:11.733,0,0,0,0,0,0,31.08,80.24,0,8.62,691.67,0,45,88,847,5791838,32,23,0,0,1,0
2024-08-16,08:51:12.107,0,0,0,0,0,0,30.76,80.5,0,7.61,612.61,0,49,90,851,5791842,32,23,0,0,1,0
2024-08-16,08:51:12.513,0,0,0,0,0,0,30.34,80.95,0,6.25,505.94,0,46,92,854,5791845,32,23,0,0,1,0
2024-08-16,08:51:12.902,0,0,0,0,0,0,28.94,80.51,0,7.64,615.1,0,49,90,857,5791848,32,23,0,0,1,0
2024-08-16,08:51:13.309,0,0,0,0,0,0,29.2,79.19,0,12.62,999.38,0,49,83,860,5791851,32,23,0,0,1,0
2024-08-16,08:51:13.715,0,0,0,0,0,0,30.96,77.83,0,17.54,1365.14,0,61,76,864,5791855,32,23,0,0,1,0
2024-08-16,08:51:14.102,0,0,0,0,0,0,32.64,78.21,0,15.91,1244.32,0,54,78,867,5791858,32,23,0,0,1,0
2024-08-16,08:51:14.508,0,0,0,0,0,0,32.83,79.58,0,10.64,846.73,0,54,85,871,5791862,32,23,0,0,1,0
2024-08-16,08:51:14.913,0,0,0,0,0,0,33.64,77.44,0,18.79,1455.1,0,64,74,874,5791865,32,23,0,0,1,0
2024-08-16,08:51:15.304,0,0,0,0,0,0,34.66,78.71,0,13.56,1067.31,0,55,81,878,5791869,32,23,0,0,1,0
2024-08-16,08:51:15.709,0,0,0,0,0,0,35.13,78.42,0,14.82,1162.18,0,66,79,882,5791873,32,23,0,0,1,0
2024-08-16,08:51:16.113,0,0,0,0,0,0,35.82,78.69,0,13.58,1068.61,0,58,80,886,5791877,32,23,0,0,1,0
2024-08-16,08:51:16.519,0,0,0,0,0,0,36.17,79.24,0,11.58,917.6,0,59,83,890,5791881,32,23,0,0,1,0
2024-08-16,08:51:16.909,0,0,0,0,0,0,36.5,79.64,0,10.08,802.77,0,63,85,894,5791885,32,23,0,0,1,0
2024-08-16,08:51:17.313,0,0,0,0,0,0,36.25,80.19,0,8.08,647.94,0,60,88,898,5791889,32,24,0,0,1,0
2024-08-16,08:51:17.717,0,0,0,0,0,0,35.27,81.2,0,4.3,349.16,0,52,93,901,5791892,32,24,0,0,1,0
2024-08-16,08:51:18.138,0,0,0,0,0,0,33.78,81.77,0,2.26,184.8,0,48,96,905,5791896,32,24,0,0,1,0
2024-08-16,08:51:18.518,0,0,0,0,0,0,32.73,82.06,0,1.51,123.91,0,50,97,908,5791899,32,24,0,0,1,0
2024-08-16,08:51:18.961,0,0,0,0,0,0,31.63,81.62,0,3.34,272.61,0,50,95,912,5791903,32,24,0,0,1,0
2024-08-16,08:51:19.307,0,0,0,0,0,0,30.71,81.77,0,2.75,224.87,0,46,96,915,5791906,32,24,0,0,1,0
2024-08-16,08:51:19.714,0,0,0,0,0,0,30.27,80.66,0,6.76,545.26,0,47,90,918,5791909,32,24,0,0,1,0
2024-08-16,08:51:20.120,0,0,0,0,0,0,30.23,82,0,1.89,154.98,0,44,97,922,5791913,32,24,0,0,1,0
2024-08-16,08:51:20.508,0,0,0,0,0,0,28.46,82.72,0,-0.02,-1.65,0,41,100,925,5791916,32,24,0,0,1,0
2024-08-16,08:51:20.926,0,0,0,0,0,0,27.04,81.77,0,2.92,238.77,0,42,96,928,5791919,32,24,0,0,1,0
2024-08-16,08:51:21.321,0,0,0,0,0,0,26.88,80.66,0,7.07,570.27,0,42,90,931,5791922,32,24,0,0,1,0
2024-08-16,08:51:21.709,0,0,0,0,0,0,26.45,82.13,0,1.49,122.37,0,37,98,933,5791924,32,24,0,0,1,0
2024-08-16,08:51:22.114,0,0,0,0,0,0,25.75,81.44,0,4,325.76,0,42,94,936,5791927,32,24,0,0,1,0
2024-08-16,08:51:22.517,0,0,0,0,0,0,25.82,80.78,0,6.6,533.15,0,44,91,939,5791930,32,24,0,0,1,0
2024-08-16,08:51:22.907,0,0,0,0,0,0,26.26,79.53,0,11.14,885.96,0,45,85,942,5791933,32,24,0,0,1,0
2024-08-16,08:51:23.313,0,0,0,0,0,0,28.41,78.68,0,14.18,1115.68,0,51,80,945,5791936,32,24,0,0,1,0
2024-08-16,08:51:23.717,0,0,0,0,0,0,29.46,79.12,0,12.18,963.68,0,48,83,948,5791939,32,24,0,0,1,0
2024-08-16,08:51:24.108,0,0,0,0,0,0,31.3,78.01,0,16.39,1278.58,0,59,77,952,5791943,32,24,0,0,1,0
2024-08-16,08:51:24.542,0,0,0,0,0,0,32.85,78.59,0,14.01,1101.05,0,55,80,955,5791946,32,24,0,0,1,0
2024-08-16,08:51:24.918,0,0,0,0,0,0,33.69,78.22,0,15.11,1181.9,0,57,78,959,5791950,32,24,0,0,1,0
2024-08-16,08:51:25.307,0,0,0,0,0,0,36.19,77.11,0,19.54,1506.73,0,67,73,963,5791954,32,24,0,0,1,0
2024-08-16,08:51:25.717,0,0,0,0,0,0,37.27,78.67,0,13.4,1054.18,0,58,80,967,5791958,32,24,0,0,1,0
2024-08-16,08:51:26.136,0,0,0,0,0,0,37.9,78.9,0,12.42,979.94,0,67,82,971,5791962,32,24,0,0,1,0
2024-08-16,08:51:26.510,0,0,0,0,0,0,38.54,79.17,0,11.6,918.37,0,65,83,975,5791966,32,24,0,0,1,0
2024-08-16,08:51:26.913,0,0,0,0,0,0,38.64,80.17,0,7.6,609.29,0,62,88,979,5791970,32,24,0,0,1,0
2024-08-16,08:51:27.337,0,0,0,0,0,0,37.91,81.59,0,2.6,212.13,0,57,95,983,5791974,32,24,0,0,1,0
2024-08-16,08:51:27.708,0,0,0,0,0,0,35.78,83.18,0,-1.41,-117.28,0,50,100,987,5791978,32,24,0,0,1,0
2024-08-16,08:51:28.116,0,0,0,0,0,0,33.22,82.9,0,-0.49,-40.62,0,45,100,991,5791982,32,24,0,0,1,0
2024-08-16,08:51:28.534,0,0,0,0,0,0,31.6,81.88,0,2.39,195.69,0,51,96,994,5791985,32,24,0,0,1,0
2024-08-16,08:51:28.913,0,0,0,0,0,0,31.8,81.52,0,3.19,260.05,0,49,95,997,5791988,32,24,0,0,1,0
2024-08-16,08:51:29.314,0,0,0,0,0,0,30.67,81.98,0,1.62,132.81,0,43,97,1001,5791992,32,24,0,0,1,0
2024-08-16,08:51:29.736,0,0,0,0,0,0,30.34,80.82,0,5.98,483.3,0,52,91,1004,5791995,32,24,0,0,1,0
2024-08-16,08:51:30.107,0,0,0,0,0,0,30.74,79.71,0,10.02,798.69,0,53,86,1007,5791998,32,24,0,0,1,0
2024-08-16,08:51:30.515,0,0,0,0,0,0,31.89,79.09,0,12.39,979.93,0,59,82,1011,5792002,32,24,0,0,1,0
2024-08-16,08:51:30.936,0,0,0,0,0,0,32.63,79.99,0,8.82,705.51,0,53,87,1014,5792005,32,24,0,0,1,0
2024-08-16,08:51:31.307,0,0,0,0,0,0,32.69,80.67,0,6.08,490.47,0,51,90,1018,5792009,32,24,0,0,1,0
2024-08-16,08:51:31.713,0,0,0,0,0,0,32.4,80.85,0,5.37,434.16,0,51,91,1021,5792012,32,24,0,0,1,0
2024-08-16,08:51:32.144,0,0,0,0,0,0,31.85,81.34,0,3.85,313.16,0,45,94,1025,5792016,32,24,0,0,1,0
2024-08-16,08:51:32.507,0,0,0,0,0,0,32.16,81.2,0,4.32,350.78,0,52,93,1028,5792019,32,24,0,0,1,0
2024-08-16,08:51:32.914,0,0,0,0,0,0,31.01,82.68,0,-0.01,-0.83,0,45,100,1032,5792023,32,24,0,0,1,0
